set_vel,odometry_vel
0,0
0,0
0,0
0,0
0.918945,0
1.40771,0
1.76807,0
1.9624,0
2.12842,0
2.26465,0
2.41699,0.0229552
2.48584,0
2.56689,0.0409577
2.6123,0.018012
2.71729,0.0409698
2.83252,0.104889
2.96289,0.0819366
3.02881,0.122901
3.12354,0.204859
3.10498,0.245802
3.17236,0.327741
3.18359,0.473736
3.14746,0.632346
3.06396,0.801309
2.96289,0.789861
2.75439,1.04854
2.75537,1.59773
2.76953,1.49783
2.73389,1.12704
2.74219,1.66463
2.75146,2.62312
2.73193,2.80842
2.75684,2.25096
2.71729,3.20476
2.79102,2.09713
2.80713,3.48561
2.86621,3.79162
2.82275,3.17285
2.83838,2.81253
2.87207,3.98525
2.87744,4.26055
2.88428,3.62919
2.91895,2.96459
2.92041,4.57089
2.95215,3.8952
2.97461,4.16145
3.07471,3.73905
3.08496,4.81144
3.12256,4.16875
3.15283,3.42097
3.22803,4.99788
3.24023,4.2699
3.20557,3.72153
3.28027,4.98381
3.36523,4.29477
3.40479,4.10659
3.49707,4.71374
3.55762,4.49232
3.60938,4.50601
3.71045,4.54899
3.90674,4.56897
4.02539,4.79726
4.07129,4.42146
4.12695,4.74148
4.13135,4.83964
4.13477,4.27613
4.14062,4.92448
4.13232,4.73089
4.12451,4.44853
4.0083,4.91582
3.36572,4.67662
