set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
0.591309,0
1.0708,0
1.2207,0
1.21875,0.018019
1.26855,0
1.30371,0
1.31885,0
1.35693,0
1.56201,0
1.56201,0.0229535
1.61035,0.0229539
1.76465,0.0180179
1.81934,0.0409594
1.91602,0.0590031
1.91943,0.104913
1.90479,0.140837
1.89746,0.145871
1.91064,0.345757
1.85693,0.386741
1.79639,0.550818
1.68408,0.555316
1.69238,0.773456
1.68604,1.0832
1.67822,1.00148
1.67139,0.860069
1.64014,0.907656
1.65576,0.81277
1.65625,1.63853
1.6543,1.51562
1.64453,0.980236
1.65332,0.571455
1.65234,1.64703
1.68945,1.80267
1.69287,1.90757
1.69043,1.98393
1.68408,1.54331
1.67773,2.04366
1.6958,2.33989
1.71436,1.15157
1.79199,2.36633
1.81738,2.51722
1.79053,2.5626
1.7959,1.93032
1.86035,2.66329
1.87988,2.0349
1.93506,2.13277
1.95801,2.86827
2.0498,2.90862
2.06934,2.25837
2.07178,3.05475
2.05957,1.64582
2.09033,3.15414
2.1416,3.13225
2.21143,2.54501
2.19727,3.32774
2.21875,1.96113
2.24219,3.32637
2.35205,3.40532
2.37695,2.82083
2.42871,3.27114
2.45215,2.432
2.5415,3.6277
2.58643,3.32554
2.56787,3.47627
2.60498,2.50587
2.6377,3.7821
2.70068,3.91491
2.70508,4.09155
2.7666,2.77546
2.83008,3.24458
2.87939,4.14279
2.95654,4.42454
3,2.83401
3.05908,3.52463
3.17285,4.60512
3.18799,4.2634
3.20605,3.33567
3.2417,4.57091
3.27734,3.95015
3.30127,2.90694
3.4165,4.20174
3.4043,4.64229
3.50049,4.2705
3.53467,3.50396
3.55029,4.95513
3.63428,4.26864
3.63574,3.61964
3.66016,5.15824
