set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
1.01953,0.851879
1.00439,1.16824
1.02051,1.2881
1.00684,1.31066
0.99707,1.31128
0.994629,1.31079
0.970215,1.28826
0.970215,0.578206
1.00244,1.06518
1.01074,1.29297
1.02051,1.26981
0.996582,0.871564
1.00732,0.468509
1.00635,0.920328
0.980957,1.27064
0.96875,1.28789
1.00684,1.27015
0.997559,1.27009
1.01807,1.29319
0.999512,1.22414
1.00586,0.486298
1.0083,1.17986
0.981934,1.25206
0.968262,1.22876
1.02295,0.761987
0.998047,0.463453
1.02051,1.04539
1.01562,1.55678
1.01514,0.983253
0.977051,1.25203
1.0127,1.24709
0.992676,1.27006
1.00879,1.18304
0.970215,0.532331
1.03076,1.17986
1.00781,1.25201
1.01123,1.22416
0.999023,0.743837
1.00586,0.463398
0.979004,1.0176
0.981445,1.22902
0.968262,1.31081
1.03369,1.2883
1.02002,1.29288
1.0083,1.31108
1.00049,1.12726
1.00781,0.670046
0.992188,1.27992
0.967285,1.29288
0.968262,1.28816
1.0166,0.450334
0.994629,0.86981
1.00684,1.20943
1.0166,1.35154
1.00244,1.35226
0.992676,1.41599
0.970215,1.36998
0.974609,1.23228
0.973145,1.01573
0.999512,1.30287
0.980469,1.3749
1.02539,1.11256
0.999512,0.468363
1.00049,1.01751
0.995605,1.41595
0.967285,1.14704
1.00879,1.41104
0.98291,1.39255
1.00635,1.41137
1.01416,0.938927
1.00732,1.21891
1.00928,1.35665
1.00732,1.35228
0.997559,0.747009
0.977539,0.527333
1.00635,0.90444
0.995117,1.311
1.00146,1.59772
1.00439,1.31078
1.01758,1.27018
0.997559,1.02427
0.967285,1.01733
0.978516,0.675156
0.979004,1.17996
1.05273,1.21063
1.01318,1.27045
0.999512,0.614197
1.00879,0.414377
1.00098,1.25468
0.996582,1.27037
1.00049,1.2058
1.00732,0.965584
1.00146,1.22882
1.00098,1.1882
0.987305,1.20609
0.999512,0.650273
0.991211,0.964866
0.987793,1.11625
1.02148,1.22888
