set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0258789,0
0,0
0,0
0,0
0,0
0,0.0180012
0,0
0,0
0,0
0.0273438,0
0,0
0,0
0,0
0,0.022959
0,0
0,0
0,0
0.0297852,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.521,0
2.47217,0
2.49805,0
2.4873,0
2.48291,0
2.5127,0
2.48926,0
2.49512,0
2.51904,0.0180072
2.52637,0
2.48486,0
2.50781,0
2.50439,0
2.48389,0
2.49463,0
2.51123,0
2.50342,0
2.51953,0
2.48584,0
2.4873,0
2.48877,0.0229521
2.49463,0
2.49854,0
2.47266,0.0819379
2.51123,0.0589828
2.4917,0.186829
2.47168,0.286772
2.4502,0.427694
2.4834,0.514546
2.49658,0.673454
2.46973,0.750583
2.48193,0.486634
2.51807,1.19629
2.52637,1.44291
2.47559,1.63353
2.4751,1.08782
2.48682,2.06141
2.49707,2.80393
2.46338,2.98147
2.48291,2.60631
2.51318,2.62688
2.521,2.67549
2.47119,3.78743
2.47363,3.04725
2.47998,3.67941
2.50146,2.47853
2.50732,4.06327
2.48438,3.30978
2.49951,3.873
2.52197,2.72216
2.49902,4.25039
2.47363,3.43167
2.51514,3.63779
2.49316,3.98977
2.49463,3.42027
2.51074,3.41636
2.4834,3.06608
2.50635,3.31922
2.50537,4.13815
2.47461,3.27067
2.47754,2.95039
2.49512,3.35782
2.50928,4.00976
2.4917,3.19356
2.49463,2.93146
2.50537,3.07704
2.50781,3.92823
2.47754,3.08855
2.51367,3.27577
2.49512,2.73788
2.47559,3.88818
2.49707,3.00576
2.49609,3.69892
2.48877,2.27169
2.50586,3.76662
2.50586,3.36411
2.44922,3.56743
2.48193,2.3021
2.51953,3.64803
2.48877,3.74011
2.48096,3.35037
2.48389,2.58992
2.50586,3.58718
2.50977,3.91302
2.47803,3.43668
2.49951,2.55898
2.48584,3.67714
2.49365,3.93615
2.50537,3.4381
2.48389,2.5772
2.49609,3.60349
2.5293,3.91373
2.47852,3.47821
2.46289,2.5362
2.50732,3.64238
2.50732,3.87108
2.49121,3.33181
2.4873,2.49863
2.49268,3.48251
2.51074,3.96919
2.50684,3.17126
2.49463,2.59961
2.47559,3.46183
2.50098,3.93242
