set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
1.1792,1.00396
1.15967,1.47525
1.14453,1.29423
1.15381,1.22285
1.1543,1.74355
1.15088,0.632447
1.14795,1.05869
1.16455,1.4057
1.15723,1.43313
1.15674,0.647442
1.16357,0.525985
1.1543,0.925572
1.14404,1.47437
1.16504,1.33137
1.16309,1.25804
1.15527,1.40324
1.15674,1.01542
1.15625,0.962569
1.15479,1.40588
1.15527,1.52055
1.15674,0.711002
1.15723,0.736972
1.15234,0.894468
1.15625,1.4933
1.15137,1.38401
1.15283,1.25106
1.15479,1.46132
1.15479,0.965054
1.15479,1.31267
1.14502,1.22893
1.1543,1.51644
1.14551,0.614278
1.14941,0.651559
1.15039,1.22263
1.14111,1.84396
1.14941,1.22768
1.1499,1.12572
1.13037,1.57483
1.13574,0.681165
1.15625,1.37399
1.16504,1.57881
1.16357,1.18169
1.15918,0.6533
1.16113,0.813047
1.15771,1.6209
1.15234,1.59662
1.1416,1.27866
1.14746,1.56756
1.16992,0.904408
1.14648,1.27262
1.13965,1.62014
1.1499,1.36898
1.1543,0.598936
1.14941,0.762638
1.15039,1.5784
1.14258,1.62136
1.13721,1.30915
1.14941,1.49515
1.15625,1.01918
1.15527,1.11216
1.15332,1.59788
1.16113,1.52683
1.15869,0.559038
1.14697,0.629573
1.16504,1.57309
1.19336,1.58079
1.1709,1.29079
1.17871,1.40794
1.18066,1.23599
1.17773,0.974704
1.17334,1.48259
1.20215,1.53885
1.19824,0.855077
1.19922,0.646923
1.20801,0.883903
1.20947,1.53862
1.21338,1.53314
1.20605,1.21958
1.20654,1.46173
1.20947,0.781385
1.21875,1.26325
1.21826,1.51564
1.23047,1.40116
1.21875,0.503671
1.21289,0.6661
1.20312,1.23811
1.20264,1.51731
1.18652,1.42593
1.17236,1.28591
1.16504,1.35199
1.16602,0.863246
1.17627,1.26008
1.18945,1.59868
1.17969,1.14897
1.1709,0.558435
1.1748,0.88648
1.16113,1.5977
1.16113,1.57456
1.1709,1.33218
1.19531,1.4763
1.17773,0.881042
1.17773,1.29209
1.18066,1.63915
1.16748,1.38625
1.16309,0.558514
1.1792,0.726803
1.17627,1.63956
1.1792,1.63904
1.1792,1.35047
1.20752,1.49438
1.18848,0.92704
1.18506,1.30941
1.17627,1.68429
1.18311,1.29525
1.17529,0.576438
1.16797,0.961956
1.18164,1.66287
1.18262,1.65382
1.17969,1.41726
1.17188,1.53358
1.17188,1.53358
