set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
2.06787,2.29709
2.06689,3.17429
2.06396,2.14715
2.05127,2.53996
2.05664,1.91428
2.03223,2.26873
2.03955,3.12664
2.04639,2.44662
2.06787,2.38346
2.05127,1.97697
2.05371,2.19635
2.04688,3.18439
2.05029,2.6171
2.02246,2.32501
2.0498,2.40375
2.0625,1.92501
2.06348,3.14477
2.04443,2.69544
2.05664,2.28822
2.05371,2.15137
2.02832,2.19526
2.0083,3.16284
2.0332,2.60322
2.02881,2.24858
2.04297,2.0469
2.03662,2.12592
2.03906,3.14551
2.03955,2.70887
2.04395,2.05566
2.04492,2.23907
2.04102,1.97068
2.02686,3.00847
2.0332,2.98295
2.05029,1.85961
2.05518,2.3253
2.04492,1.78726
2.03906,3.00864
2.02441,3.07435
2.01367,1.71366
2.04102,2.65487
2.05029,1.48065
2.05371,3.05461
2.04736,3.04634
2.03076,1.74168
2.03613,2.6728
2.03857,1.37087
2.02539,3.0097
2.03271,3.02712
