set_vel,odometry_vel
0,0
0,0
0,0
0,0
0.361816,0
0.73877,0
1.16504,0
1.51318,0
1.90137,0
2.01025,0.022952
2.01074,0.0180153
2.0127,0.0229544
2.08887,0.0819163
2.28711,0.058982
2.33545,0.104916
2.36572,0.0917979
2.4624,0.16396
2.50684,0.245684
2.55322,0.286817
2.58496,0.32771
2.65137,0.450687
2.67773,0.491554
2.70654,0.614685
2.72705,0.719228
2.69043,0.580071
2.66748,0.560251
2.70361,1.27557
2.67334,1.57898
2.63232,1.39876
2.56836,1.10472
2.5166,2.04041
2.34863,2.57352
2.13818,2.8907
2.09961,2.29227
2.06494,2.88685
2.09424,2.29021
2.14648,3.56296
2.19238,3.149
2.23291,3.54328
2.23291,2.33795
2.22656,3.70124
2.30322,3.7154
2.39062,3.12155
2.47656,2.7125
2.52002,3.18868
2.5293,3.67879
2.55029,2.98386
2.54736,3.31698
2.5459,2.48108
2.54248,3.71945
2.55664,2.98363
2.5498,3.87518
2.53223,2.26374
2.53467,3.93336
2.5249,3.40146
2.52148,3.76785
2.49902,2.50454
2.51367,3.83227
2.521,3.60853
2.5083,3.46345
2.51904,2.73035
2.50977,3.7076
2.50049,3.82252
2.50244,3.47312
2.50488,2.85267
2.51025,3.84113
2.49121,3.858
2.48633,3.52092
2.49023,2.74135
2.47607,3.85815
2.48193,3.76869
2.4917,3.54593
2.49463,2.7187
2.50439,3.7829
2.50195,3.77538
2.50342,3.41375
2.49219,2.72959
2.48389,3.64977
2.48096,3.90282
2.5083,3.30322
2.51318,2.69253
2.50098,3.6092
2.50488,3.88407
2.50293,3.16552
2.50049,2.94611
2.50732,3.35655
2.50781,3.90101
2.50439,3.32057
2.47607,3.14757
2.49316,3.25504
2.49658,3.98756
2.46924,3.28853
2.50195,3.23455
2.50049,3.29096
2.48291,3.94768
2.49805,3.20593
2.50586,3.30365
2.50732,3.12154
2.49951,3.90169
2.52295,3.21195
2.52246,3.44114
2.48389,2.96068
2.48486,3.9972
2.47168,3.11582
2.47412,3.58355
2.46436,2.85147
2.47559,4.02004
2.47119,3.09365
2.46875,3.74474
2.45508,2.61531
2.45166,3.94929
2.4458,3.16737
2.45068,3.96744
2.43408,2.56971
2.43652,3.90067
2.38672,3.12076
2.38037,4.01597
2.37451,2.55169
2.4292,3.86527
2.44141,3.19521
2.44336,3.81711
2.4458,2.3592
2.43701,3.72955
2.41846,3.45795
2.42285,3.52382
2.42139,2.54892
2.40625,3.51305
2.41992,3.83796
2.42969,2.98546
2.43359,2.85034
2.4375,3.85547
2.4624,3.03653
2.45557,2.83536
2.44922,3.51658
2.44238,2.60776
2.39746,3.702
2.37939,2.96901
2.37695,3.85457
